Rk,Name,Age,Tm,IP,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max,Name-additional
127,Kyle Gibson,34,PHI,167.2,31,31,10,8,13,1,2,16,15,0.516,3,9,0,0,15,48%,48.5,83,15,24,5,0,19,5.2,4.5,5.4,88,8,16,7,0,106,gibsoky01
128,Luis Gil,24,NYY,4,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,39,39,39,0,0,0,1,15,13.5,4,83,0,1,0,0,83,gillu01
129,Logan Gilbert,25,SEA,185.2,32,32,13,6,13,6,3,21,11,0.656,2,5,0,0,16,50%,55.5,76,15,10,2,0,18,4.4,4.7,5.8,94,2,17,13,0,109,gilbelo01
130,Tyler Gilbert*,28,ARI,34.1,8,7,0,3,4,0,0,2,5,0.286,2,1,0,0,0,0%,45.7,63,19,10,2,0,6,4.7,3.4,4.5,73,4,3,0,0,97,gilbety01
131,Lucas Giolito,27,CHW,161.2,30,30,11,9,10,4,1,13,17,0.433,3,4,0,0,11,37%,49.3,67,19,14,8,0,17,4.8,4.5,5.4,92,3,21,6,0,109,giolilu01
132,Mychal Givens,32,TOT,61.1,59,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,,51,51,13,6,0,1,10.1,0,1,18,1,0,0,0,18,givenmy01
133,Mychal Givens,32,NYM,20.2,19,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,51,51,51,2,2,0,1,10.1,0,1,18,1,0,0,0,18,givenmy01
134,Tyler Glasnow,28,TBR,6.2,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0%,58,63,53,1,0,0,1,1.9,5.1,3.3,57,2,0,0,0,64,glasnty01
135,Austin Gomber*,28,COL,124.2,33,17,5,7,5,1,2,7,10,0.412,0,2,0,0,7,41%,44.9,72,6,22,10,0,11,4.6,3.8,5.2,85,4,12,1,0,100,gombeau01
136,Tony Gonsolin,28,LAD,130.1,24,24,16,1,7,6,0,19,5,0.792,1,3,0,0,11,46%,60.9,80,38,4,0,0,18,5.1,4.8,5.4,84,6,18,0,0,98,gonsoto01
137,Marco Gonzales*,30,SEA,183,32,32,10,15,7,2,7,15,17,0.469,2,5,0,0,18,56%,48.8,71,27,20,5,0,20,4.2,4.1,5.7,89,6,19,7,0,110,gonzama02
138,Chi Chi González,30,TOT,23,7,5,0,1,4,0,0,3,2,0.6,0,1,0,0,0,0%,43,52,37,3,0,0,4,5.9,8.7,3.9,64,5,0,0,0,73,gonzach01
139,Chi Chi González,30,TOT,11.2,3,3,0,0,3,0,0,2,1,0.667,0,1,0,0,0,0%,43,52,37,3,0,0,3,5.5,6.9,3.9,62,3,0,0,0,73,gonzach01
140,Chi Chi González,30,MIN,7,2,2,0,0,2,0,0,2,0,1,0,0,0,0,0,0%,38.5,40,37,1,0,0,2,7.9,10.6,3.5,57,2,0,0,0,68,gonzach01
141,Chi Chi González,30,MIL,11.1,4,2,0,1,1,0,0,1,1,0.5,0,0,0,0,0,0%,43,43,43,0,0,0,1,6.4,11.3,4,66,2,0,0,0,73,gonzach01
142,Chi Chi González,30,NYY,4.2,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0%,52,52,52,2,0,0,1,1,0,4.7,73,1,0,0,0,73,gonzach01
143,MacKenzie Gore*,23,SDP,70,16,13,4,4,5,2,0,7,6,0.538,2,1,0,0,3,23%,50.8,79,10,10,5,0,10,3.9,4.5,5,90,3,6,4,0,108,gorema01
144,Brusdar Graterol,23,LAD,49.2,46,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0%,40,40,40,6,2,1,0,5,0,1,22,1,0,0,0,22,gratebr01
145,Jon Gray,30,TEX,127.1,24,24,7,7,10,3,1,10,14,0.417,4,4,0,0,8,33%,54,84,29,10,2,0,13,4.6,5.1,5.3,86,8,12,4,0,102,grayjo02
146,Josiah Gray,24,WSN,148.2,28,28,7,10,11,4,0,13,15,0.464,3,3,0,0,9,32%,50,71,23,15,3,0,15,4,3.6,5.3,93,1,22,5,0,117,grayjo03
147,Sonny Gray,32,MIN,119.2,24,24,8,5,11,1,1,14,10,0.583,1,3,0,0,9,38%,55.2,78,21,12,4,0,17,5.5,4.5,5,78,11,13,0,0,97,grayso01
148,Hunter Greene,22,CIN,125.2,24,24,5,13,6,2,2,6,18,0.25,1,2,1,1,9,38%,53.9,83,14,15,8,0,15,3.7,3,5.2,92,3,15,6,0,118,greenhu01
149,Zack Greinke,38,KCR,137,26,26,4,9,13,1,2,13,13,0.5,4,3,0,0,9,35%,48.4,70,23,13,3,0,16,4,3.1,5.3,87,2,21,3,0,103,greinza01
150,Michael Grove,25,LAD,29.1,7,6,1,0,5,1,0,5,1,0.833,0,3,0,0,0,0%,48.3,59,39,2,0,0,5,4.6,3.5,4.7,75,5,1,0,0,92,grovemi01
151,Vladimir Gutierrez,26,CIN,36.2,10,8,1,6,1,1,0,2,6,0.25,0,0,0,0,0,0%,38.6,54,19,14,3,0,6,4.1,3.3,4.4,80,4,4,0,0,88,gutievl01
152,DL Hall*,23,BAL,13.2,11,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0%,34,34,34,4,0,0,1,2,4.5,3.7,76,1,0,0,0,76,halldl01
153,Thomas Hatch,27,TOR,4.2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0%,2,2,2,0,0,0,1,5,2.3,4.7,71,1,0,0,0,71,hatchto01
154,Andrew Heaney*,31,LAD,72.2,16,14,3,3,8,1,0,10,4,0.714,0,1,0,0,2,14%,55.6,78,39,7,2,0,9,6.8,7,4.6,79,7,7,0,0,91,heanean01
